in_ojoregex,clean_charge_description,category,subcategory,title,statutes,chapter,gist,description,statute_link,cf_cm,cf_cm_notes,outdated,notes
TRUE,Larceny (Grand),Property Crimes,Larceny,21,21 O.S. 1705,,"grand larceny (amount > $1,000 or taken from a person directly)",stealing property worth more than $1k or directly from the person of another,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70063,CF,NA,NA,NA
TRUE,Larceny (Petit),Property Crimes,Larceny,21,21 O.S. 1706,,"petit larceny (amount < $1,000 and not taken from a person directly)",stealing property in a way that doesn't meet the grand larceny qualifications,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70064,CM,NA,NA,NA
TRUE,Larceny (Shoplifting),Property Crimes,Larceny,21,21 O.S. 1731,,larceny of merchandise held for sale in retail or wholesale establishments,larceny of merchandise held for sale in retail or wholesale establishments,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70089,It Depends,NA,NA,NA
TRUE,Larceny (Auto),Property Crimes,Larceny,21,21 O.S. 1720,,"larceny of aircraft, automobile or other automotive driven vehicle, construction equipment or farm equipment",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70080,CF,NA,NA,NA
FALSE,Larceny (Animal),Property Crimes,Larceny,21,21 O.S. 1716 through 1719,,"larceny of a personal dog or larceny of a fowl, horse, cow, sheep, etc. for animal husbandry purposes",NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70074,It Depends,"Larceny of pet dogs is considered normal larceny and depends on value and manner to determine felony / misdemeanor. Larceny of any domestic Fowl / horse / jackass / cow / etc, however, is instant Grand Larceny / felony",NA,NA
FALSE,Larceny (Oil / Gas),Property Crimes,Larceny,21,21 O.S. 1722,,larceny of crude oil or gasoline or any product thereof,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70082,It Depends,"Depends on the value, $1,000 is the cutoff",NA,NA
FALSE,Larceny (Lost Property),Property Crimes,Larceny,21,21 O.S. 1702,,larceny of lost property under circumstances where it could reasonably have been returned to its rightful owner,NA,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=70060,It Depends,"$1,000 cutoff for CM / CF. There are also additional penalties at $2,500 and $15,000",NA,NA
TRUE,Larceny (Other / Unspecified),Property Crimes,Larceny,NA,NA,,NA,NA,NA,NA,NA,NA,NA
TRUE,Burglary (First Degree),Property Crimes,Burglary,21,21 O.S. 1431,,breaking and entering while somebody is present,breaking into a building while someone is there and stealing stuff,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69878,CF,NA,Current,NA
TRUE,Burglary (Second Degree),Property Crimes,Burglary,21,21 O.S. 1435,,breaking and entering while nobody is present with intent to steal or commit a felony,breaking into a building while nobody is there and stealing stuff,https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=69879,CF,NA,Current,NA
